geografia|giorno|data|totale_casi_positivi|totale_casi_positivi_ab|deceduti|deceduti_inc|letalita|totale_ricoveri|totale_ricoveri_inc|attualmente_positivi|dimessi|tamponi|tamponi_inc
AR|0|24/2/2020|0|0|||||||||
FI|0|24/2/2020|0|0|||||||||
GR|0|24/2/2020|0|0|||||||||
LI|0|24/2/2020|0|0|||||||||
LU|0|24/2/2020|0|0|||||||||
MS|0|24/2/2020|0|0|||||||||
PI|0|24/2/2020|0|0|||||||||
PO|0|24/2/2020|0|0|||||||||
PT|0|24/2/2020|0|0|||||||||
SI|0|24/2/2020|0|0|||||||||
Toscana|0|24/2/2020|0|0|0|||0||0|0|140|
aslCENTRO|0|24/2/2020|0|0|||||||||
aslNO|0|24/2/2020|0|0|||||||||
aslSE|0|24/2/2020|0|0|||||||||
AR|1|25/2/2020|0|0|||||||||
FI|1|25/2/2020|1|.0010141977109015|||||||||
GR|1|25/2/2020|0|0|||||||||
LI|1|25/2/2020|0|0|||||||||
LU|1|25/2/2020|0|0|||||||||
MS|1|25/2/2020|0|0|||||||||
PI|1|25/2/2020|0|0|||||||||
PO|1|25/2/2020|0|0|||||||||
PT|1|25/2/2020|1|.0034385649487376|||||||||
SI|1|25/2/2020|0|0|||||||||
Toscana|1|25/2/2020|2|.0005452067707665|0|||2||2|0|296|111.42857
aslCENTRO|1|25/2/2020|2|.0012505877530202|||||||||
aslNO|1|25/2/2020|0|0|||||||||
aslSE|1|25/2/2020|0|0|||||||||
AR|2|26/2/2020|0|0|||||||||
FI|2|26/2/2020|2|.002028395421803|||||||||
GR|2|26/2/2020|0|0|||||||||
LI|2|26/2/2020|0|0|||||||||
LU|2|26/2/2020|0|0|||||||||
MS|2|26/2/2020|0|0|||||||||
PI|2|26/2/2020|0|0|||||||||
PO|2|26/2/2020|0|0|||||||||
PT|2|26/2/2020|0|0|||||||||
SI|2|26/2/2020|0|0|||||||||
Toscana|2|26/2/2020|2|.0005452067707665|0|||2|0|2|0|363|22.635136
aslCENTRO|2|26/2/2020|2|.0012505877530202|||||||||
